id,evolved_species_id,evolution_trigger_id,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,minimum_happiness,minimum_beauty,relative_physical_stats,party_species_id,trade_species_id
1,2,1,,16,,,,,,,,,,
2,3,1,,32,,,,,,,,,,
3,5,1,,16,,,,,,,,,,
4,6,1,,36,,,,,,,,,,
5,8,1,,16,,,,,,,,,,
6,9,1,,36,,,,,,,,,,
7,11,1,,7,,,,,,,,,,
8,12,1,,10,,,,,,,,,,
9,14,1,,7,,,,,,,,,,
10,15,1,,10,,,,,,,,,,
11,17,1,,18,,,,,,,,,,
12,18,1,,36,,,,,,,,,,
13,20,1,,20,,,,,,,,,,
14,22,1,,20,,,,,,,,,,
15,24,1,,22,,,,,,,,,,
16,25,1,,,,,,,,220,,,,
17,26,3,83,,,,,,,,,,,
18,28,1,,22,,,,,,,,,,
19,30,1,,16,,,,,,,,,,
20,31,3,81,,,,,,,,,,,
21,33,1,,16,,,,,,,,,,
22,34,3,81,,,,,,,,,,,
23,35,1,,,,,,,,220,,,,
24,36,3,81,,,,,,,,,,,
25,38,3,82,,,,,,,,,,,
26,39,1,,,,,,,,220,,,,
27,40,3,81,,,,,,,,,,,
28,42,1,,22,,,,,,,,,,
29,44,1,,21,,,,,,,,,,
30,45,3,85,,,,,,,,,,,
31,47,1,,24,,,,,,,,,,
32,49,1,,31,,,,,,,,,,
33,51,1,,26,,,,,,,,,,
34,53,1,,28,,,,,,,,,,
35,55,1,,33,,,,,,,,,,
36,57,1,,28,,,,,,,,,,
37,59,3,82,,,,,,,,,,,
38,61,1,,25,,,,,,,,,,
39,62,3,84,,,,,,,,,,,
40,64,1,,16,,,,,,,,,,
41,65,2,,,,,,,,,,,,
42,67,1,,28,,,,,,,,,,
43,68,2,,,,,,,,,,,,
44,70,1,,21,,,,,,,,,,
45,71,3,85,,,,,,,,,,,
46,73,1,,30,,,,,,,,,,
47,75,1,,25,,,,,,,,,,
48,76,2,,,,,,,,,,,,
49,78,1,,40,,,,,,,,,,
50,80,1,,37,,,,,,,,,,
51,82,1,,30,,,,,,,,,,
52,85,1,,31,,,,,,,,,,
53,87,1,,34,,,,,,,,,,
54,89,1,,38,,,,,,,,,,
55,91,3,84,,,,,,,,,,,
56,93,1,,25,,,,,,,,,,
57,94,2,,,,,,,,,,,,
58,97,1,,26,,,,,,,,,,
59,99,1,,28,,,,,,,,,,
60,101,1,,30,,,,,,,,,,
61,103,3,85,,,,,,,,,,,
62,105,1,,28,,,,,,,,,,
63,106,1,,20,,,,,,,,1,,
64,107,1,,20,,,,,,,,-1,,
65,110,1,,35,,,,,,,,,,
66,112,1,,42,,,,,,,,,,
67,113,1,,,,,110,day,,,,,,
68,117,1,,32,,,,,,,,,,
69,119,1,,33,,,,,,,,,,
70,121,3,84,,,,,,,,,,,
71,122,1,,,,,,,102,,,,,
72,124,1,,30,,,,,,,,,,
73,125,1,,30,,,,,,,,,,
74,126,1,,30,,,,,,,,,,
75,130,1,,20,,,,,,,,,,
76,134,3,84,,,,,,,,,,,
77,135,3,83,,,,,,,,,,,
78,136,3,82,,,,,,,,,,,
79,139,1,,40,,,,,,,,,,
80,141,1,,40,,,,,,,,,,
81,143,1,,,,,,,,220,,,,
82,148,1,,30,,,,,,,,,,
83,149,1,,55,,,,,,,,,,
84,153,1,,16,,,,,,,,,,
85,154,1,,32,,,,,,,,,,
86,156,1,,14,,,,,,,,,,
87,157,1,,36,,,,,,,,,,
88,159,1,,18,,,,,,,,,,
89,160,1,,30,,,,,,,,,,
90,162,1,,15,,,,,,,,,,
91,164,1,,20,,,,,,,,,,
92,166,1,,18,,,,,,,,,,
93,168,1,,22,,,,,,,,,,
94,169,1,,,,,,,,220,,,,
95,171,1,,27,,,,,,,,,,
96,176,1,,,,,,,,220,,,,
97,178,1,,25,,,,,,,,,,
98,180,1,,15,,,,,,,,,,
99,181,1,,30,,,,,,,,,,
100,182,3,80,,,,,,,,,,,
101,183,1,,,,,,,,220,,,,
102,184,1,,18,,,,,,,,,,
103,185,1,,,,,,,102,,,,,
104,186,2,,,,,198,,,,,,,
105,188,1,,18,,,,,,,,,,
106,189,1,,27,,,,,,,,,,
107,192,3,80,,,,,,,,,,,
108,195,1,,20,,,,,,,,,,
109,196,1,,,,,,day,,220,,,,
110,197,1,,,,,,night,,220,,,,
111,199,2,,,,,198,,,,,,,
112,202,1,,15,,,,,,,,,,
113,205,1,,31,,,,,,,,,,
114,208,2,,,,,210,,,,,,,
115,210,1,,23,,,,,,,,,,
116,212,2,,,,,210,,,,,,,
117,217,1,,30,,,,,,,,,,
118,219,1,,38,,,,,,,,,,
119,221,1,,33,,,,,,,,,,
120,224,1,,25,,,,,,,,,,
121,226,1,,,,,,,,,,,223,
122,229,1,,24,,,,,,,,,,
123,230,2,,,,,212,,,,,,,
124,232,1,,25,,,,,,,,,,
125,233,2,,,,,229,,,,,,,
126,237,1,,20,,,,,,,,0,,
127,242,1,,,,,,,,220,,,,
128,247,1,,30,,,,,,,,,,
129,248,1,,55,,,,,,,,,,
130,253,1,,16,,,,,,,,,,
131,254,1,,36,,,,,,,,,,
132,256,1,,16,,,,,,,,,,
133,257,1,,36,,,,,,,,,,
134,259,1,,16,,,,,,,,,,
135,260,1,,36,,,,,,,,,,
136,262,1,,18,,,,,,,,,,
137,264,1,,20,,,,,,,,,,
138,266,1,,7,,,,,,,,,,
139,267,1,,10,,,,,,,,,,
140,268,1,,7,,,,,,,,,,
141,269,1,,10,,,,,,,,,,
142,271,1,,14,,,,,,,,,,
143,272,3,84,,,,,,,,,,,
144,274,1,,14,,,,,,,,,,
145,275,3,85,,,,,,,,,,,
146,277,1,,22,,,,,,,,,,
147,279,1,,25,,,,,,,,,,
148,281,1,,20,,,,,,,,,,
149,282,1,,30,,,,,,,,,,
150,284,1,,22,,,,,,,,,,
151,286,1,,23,,,,,,,,,,
152,288,1,,18,,,,,,,,,,
153,289,1,,36,,,,,,,,,,
154,291,1,,20,,,,,,,,,,
155,292,4,,,,,,,,,,,,
156,294,1,,20,,,,,,,,,,
157,295,1,,40,,,,,,,,,,
158,297,1,,24,,,,,,,,,,
159,301,3,81,,,,,,,,,,,
160,305,1,,32,,,,,,,,,,
161,306,1,,42,,,,,,,,,,
162,308,1,,37,,,,,,,,,,
163,310,1,,26,,,,,,,,,,
164,315,1,,,,,,day,,220,,,,
165,317,1,,26,,,,,,,,,,
166,319,1,,30,,,,,,,,,,
167,321,1,,40,,,,,,,,,,
168,323,1,,33,,,,,,,,,,
169,326,1,,32,,,,,,,,,,
170,329,1,,35,,,,,,,,,,
171,330,1,,45,,,,,,,,,,
172,332,1,,32,,,,,,,,,,
173,334,1,,35,,,,,,,,,,
174,340,1,,30,,,,,,,,,,
175,342,1,,30,,,,,,,,,,
176,344,1,,36,,,,,,,,,,
177,346,1,,40,,,,,,,,,,
178,348,1,,40,,,,,,,,,,
179,350,1,,,,,,,,,171,,,
180,354,1,,37,,,,,,,,,,
181,356,1,,37,,,,,,,,,,
182,358,1,,,,,,night,,220,,,,
183,362,1,,42,,,,,,,,,,
184,364,1,,32,,,,,,,,,,
185,365,1,,44,,,,,,,,,,
186,367,2,,,,,203,,,,,,,
187,368,2,,,,,204,,,,,,,
188,372,1,,30,,,,,,,,,,
189,373,1,,50,,,,,,,,,,
190,375,1,,20,,,,,,,,,,
191,376,1,,45,,,,,,,,,,
192,388,1,,18,,,,,,,,,,
193,389,1,,32,,,,,,,,,,
194,391,1,,14,,,,,,,,,,
195,392,1,,36,,,,,,,,,,
196,394,1,,16,,,,,,,,,,
197,395,1,,36,,,,,,,,,,
198,397,1,,14,,,,,,,,,,
199,398,1,,34,,,,,,,,,,
200,400,1,,15,,,,,,,,,,
201,402,1,,10,,,,,,,,,,
202,404,1,,15,,,,,,,,,,
203,405,1,,30,,,,,,,,,,
204,407,3,107,,,,,,,,,,,
205,409,1,,30,,,,,,,,,,
206,411,1,,30,,,,,,,,,,
207,413,1,,20,1,,,,,,,,,
208,414,1,,20,2,,,,,,,,,
209,416,1,,21,1,,,,,,,,,
210,419,1,,26,,,,,,,,,,
211,421,1,,25,,,,,,,,,,
212,423,1,,30,,,,,,,,,,
213,424,1,,,,,,,458,,,,,
214,426,1,,28,,,,,,,,,,
215,428,1,,,,,,,,220,,,,
216,429,3,108,,,,,,,,,,,
217,430,3,108,,,,,,,,,,,
218,432,1,,38,,,,,,,,,,
219,435,1,,34,,,,,,,,,,
220,437,1,,33,,,,,,,,,,
221,444,1,,24,,,,,,,,,,
222,445,1,,48,,,,,,,,,,
223,448,1,,,,,,day,,220,,,,
224,450,1,,34,,,,,,,,,,
225,452,1,,40,,,,,,,,,,
226,454,1,,37,,,,,,,,,,
227,457,1,,31,,,,,,,,,,
228,460,1,,40,,,,,,,,,,
229,461,1,,,,,303,night,,,,,,
230,462,1,,,,10,,,,,,,,
231,463,1,,,,,,,205,,,,,
232,464,2,,,,,298,,,,,,,
233,465,1,,,,,,,246,,,,,
234,466,2,,,,,299,,,,,,,
235,467,2,,,,,300,,,,,,,
236,468,3,107,,,,,,,,,,,
237,469,1,,,,,,,246,,,,,
238,470,1,,,,8,,,,,,,,
239,471,1,,,,48,,,,,,,,
240,472,1,,,,,304,night,,,,,,
241,473,1,,,,,,,246,,,,,
242,474,2,,,,,301,,,,,,,
243,475,3,109,,2,,,,,,,,,
244,476,1,,,,10,,,,,,,,
245,477,2,,,,,302,,,,,,,
246,478,3,109,,1,,,,,,,,,
247,496,1,,17,,,,,,,,,,
248,497,1,,36,,,,,,,,,,
249,499,1,,17,,,,,,,,,,
250,500,1,,36,,,,,,,,,,
251,502,1,,17,,,,,,,,,,
252,503,1,,36,,,,,,,,,,
253,505,1,,20,,,,,,,,,,
254,507,1,,16,,,,,,,,,,
255,508,1,,32,,,,,,,,,,
256,510,1,,20,,,,,,,,,,
257,512,3,85,,,,,,,,,,,
258,514,3,82,,,,,,,,,,,
259,516,3,84,,,,,,,,,,,
260,518,3,81,,,,,,,,,,,
261,520,1,,21,,,,,,,,,,
262,521,1,,32,,,,,,,,,,
263,523,1,,27,,,,,,,,,,
264,525,1,,25,,,,,,,,,,
265,526,2,,,,,,,,,,,,
266,528,1,,,,,,,,220,,,,
267,530,1,,31,,,,,,,,,,
268,533,1,,25,,,,,,,,,,
269,534,2,,,,,,,,,,,,
270,536,1,,25,,,,,,,,,,
271,537,1,,36,,,,,,,,,,
272,541,1,,20,,,,,,,,,,
273,542,1,,,,,,,,220,,,,
274,544,1,,22,,,,,,,,,,
275,545,1,,30,,,,,,,,,,
276,547,3,80,,,,,,,,,,,
277,549,3,80,,,,,,,,,,,
278,552,1,,29,,,,,,,,,,
279,553,1,,40,,,,,,,,,,
280,555,1,,35,,,,,,,,,,
281,558,1,,34,,,,,,,,,,
282,560,1,,39,,,,,,,,,,
283,563,1,,34,,,,,,,,,,
284,565,1,,37,,,,,,,,,,
285,567,1,,37,,,,,,,,,,
286,569,1,,36,,,,,,,,,,
287,571,1,,30,,,,,,,,,,
288,573,3,107,,,,,,,,,,,
289,575,1,,32,,,,,,,,,,
290,576,1,,41,,,,,,,,,,
291,578,1,,32,,,,,,,,,,
292,579,1,,41,,,,,,,,,,
293,581,1,,35,,,,,,,,,,
294,583,1,,35,,,,,,,,,,
295,584,1,,47,,,,,,,,,,
296,586,1,,34,,,,,,,,,,
297,589,2,,,,,,,,,,,,616
298,591,1,,39,,,,,,,,,,
299,593,1,,40,,,,,,,,,,
300,596,1,,36,,,,,,,,,,
301,598,1,,40,,,,,,,,,,
302,600,1,,38,,,,,,,,,,
303,601,1,,49,,,,,,,,,,
304,603,1,,39,,,,,,,,,,
305,604,3,83,,,,,,,,,,,
306,606,1,,42,,,,,,,,,,
307,608,1,,41,,,,,,,,,,
308,609,3,108,,,,,,,,,,,
309,611,1,,38,,,,,,,,,,
310,612,1,,48,,,,,,,,,,
311,614,1,,37,,,,,,,,,,
312,617,2,,,,,,,,,,,,588
313,620,1,,50,,,,,,,,,,
314,623,1,,43,,,,,,,,,,
315,625,1,,52,,,,,,,,,,
316,628,1,,54,,,,,,,,,,
317,630,1,,54,,,,,,,,,,
318,634,1,,50,,,,,,,,,,
319,635,1,,64,,,,,,,,,,
320,637,1,,59,,,,,,,,,,
321,350,2,,,,,580,,,,,,,
322,462,1,,,,379,,,,,,,,
323,476,1,,,,379,,,,,,,,
324,470,1,,,,375,,,,,,,,
325,471,1,,,,380,,,,,,,,
